gen: 120, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 121, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 122, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 123, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 124, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 125, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 126, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 127, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 128, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 129, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 130, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 131, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 132, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 133, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 134, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 135, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 136, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 137, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 138, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 139, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 140, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 141, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 142, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 143, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 144, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 145, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 146, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 147, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 148, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 149, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 150, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 151, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
gen: 152, min: 2.6794300079345703, max: 2.6794300079345703, avg: 2.6794300079345703
