constructing 9 ConvTransformerEncoderLayers
gen: 229, avg: -15.537881970405579, std: 0.019619245982249914
gen: 230, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 231, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 232, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 233, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 234, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 235, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 236, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 237, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 238, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 239, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 240, avg: -15.537954034805297, std: 0.022841258120419455
gen: 241, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 242, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 243, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 244, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 245, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 246, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 247, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 248, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 249, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 250, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 251, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 252, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 253, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 254, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 255, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 256, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 257, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 258, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 259, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 260, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 261, avg: -15.53809443950653, std: 0.02911877729454419
gen: 262, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 263, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 264, avg: -15.537909051895141, std: 0.02083006420198156
gen: 265, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 266, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 267, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 268, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 269, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 270, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 271, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 272, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 273, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 274, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 275, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 276, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 277, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 278, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 279, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 280, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 281, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 282, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 283, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 284, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 285, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 286, avg: -15.53785844707489, std: 0.018567513678930943
gen: 287, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 288, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 289, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 290, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 291, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 292, avg: -15.537716525077819, std: 0.012222155909272574
gen: 293, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 294, avg: -15.538094967842103, std: 0.021037696975717782
gen: 295, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 296, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 297, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 298, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 299, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 300, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 301, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 302, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 303, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 304, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 305, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 306, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 307, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 308, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 309, avg: -15.53806238603592, std: 0.02163290616178007
gen: 310, avg: -15.537443161010742, std: 1.8390713477780237e-06
gen: 311, avg: -15.537443161010742, std: 1.8390713477780237e-06
